Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,15.71%
Reliance Industries Ltd.,Equity,10.83%
ICICI Bank Ltd.,Equity,8.48%
Infosys Ltd.,Equity,6.68%
Larsen & Toubro Ltd.,Equity,5.17%
ITC Ltd.,Equity,4.99%
Tata Consultancy Services Ltd.,Equity,4.73%
Axis Bank Ltd.,Equity,3.77%
Kotak Mahindra Bank Ltd.,Equity,3.29%
Bharti Airtel Ltd.,Equity,3.17%
State Bank Of India,Equity,2.98%
Hindustan Unilever Ltd.,Equity,2.88%
Bajaj Finance Ltd.,Equity,2.47%
Mahindra & Mahindra Ltd.,Equity,1.99%
HCL Technologies Ltd.,Equity,1.88%
Titan Company Ltd.,Equity,1.86%
Asian Paints Ltd.,Equity,1.86%
National Thermal Power Corporation Ltd.,Equity,1.80%
Tata Motors Ltd.,Equity,1.70%
Maruti Suzuki India Ltd.,Equity,1.66%
Sun Pharmaceuticals Ind Ltd.,Equity,1.65%
Ultratech Cement Ltd.,Equity,1.46%
Tata Steel Ltd.,Equity,1.37%
Power Grid Corporation Of India Ltd.,Equity,1.31%
Indusind Bank Ltd.,Equity,1.26%
Nestle India Ltd.,Equity,1.15%
Bajaj Finserv Ltd.,Equity,1.10%
JSW Steel Ltd.,Equity,1.02%
Tech Mahindra Ltd.,Equity,0.96%
Wipro Ltd.,Equity,0.80%
Triparty Repo,Others,0.03%
Net Receivables/(Payable),Others,-0.02%
