Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,15.73%
Reliance Industries Ltd.,Equity,10.81%
ICICI Bank Ltd.,Equity,8.47%
Infosys Ltd.,Equity,6.68%
Larsen & Toubro Ltd.,Equity,5.17%
ITC Ltd.,Equity,4.96%
Tata Consultancy Services Ltd.,Equity,4.71%
Axis Bank Ltd.,Equity,3.79%
Kotak Mahindra Bank Ltd.,Equity,3.31%
Bharti Airtel Ltd.,Equity,3.17%
State Bank Of India,Equity,2.99%
Hindustan Unilever Ltd.,Equity,2.88%
Bajaj Finance Ltd.,Equity,2.47%
Mahindra & Mahindra Ltd.,Equity,2.00%
HCL Technologies Ltd.,Equity,1.88%
Asian Paints Ltd.,Equity,1.86%
Titan Company Ltd.,Equity,1.86%
National Thermal Power Corporation Ltd.,Equity,1.79%
Tata Motors Ltd.,Equity,1.70%
Maruti Suzuki India Ltd.,Equity,1.66%
Sun Pharmaceuticals Ind Ltd.,Equity,1.65%
Ultratech Cement Ltd.,Equity,1.47%
Tata Steel Ltd.,Equity,1.36%
Power Grid Corporation Of India Ltd.,Equity,1.31%
Indusind Bank Ltd.,Equity,1.27%
Nestle India Ltd.,Equity,1.14%
Bajaj Finserv Ltd.,Equity,1.11%
JSW Steel Ltd.,Equity,1.02%
Tech Mahindra Ltd.,Equity,0.96%
Triparty Repo,Others,0.83%
Wipro Ltd.,Equity,0.81%
Current Assets,Others,-0.82%
