Company Name,Asset Type,Percentage Allocation
5.63 GOI Apr 12 2026,Debt,10.04%
5.74 GOI Nov 15 2026,Debt,9.95%
7.9 Bajaj Housing Finance Ltd. Apr 28 2028,Debt,5.37%
8.1 Mahindra & Mahindra Financial Services Ltd. May 21 2026,Debt,5.35%
7.5 National Bank For Agriculture & Rural Development (Nabard) Aug 31 2026,Debt,5.20%
State Bank Of India,Others,5.03%
Cash,Others,3.34%
HDFC Bank Ltd.,Equity,3.27%
9.25 Reliance Industries Ltd. Jun 17 2024,Debt,3.23%
Axis Bank Ltd.,Others,3.03%
ICICI Securities Ltd. (180D),Others,3.01%
ICICI Bank Ltd.,Equity,2.91%
Larsen & Toubro Ltd.,Equity,2.16%
Axis Bank Ltd.,Others,2.01%
HDFC Bank Ltd. (364D),Others,2.01%
Infosys Ltd.,Equity,1.96%
Axis Bank Ltd.,Equity,1.46%
HCL Technologies Ltd.,Equity,1.38%
National Thermal Power Corporation Ltd.,Equity,1.30%
Tata Motors Ltd.,Equity,1.29%
Sun Pharmaceuticals Ind Ltd.,Equity,1.29%
Reliance Industries Ltd.,Equity,1.28%
Kirloskar Oil Engines Ltd.,Equity,1.27%
State Bank Of India,Equity,1.12%
Bharti Airtel Ltd.,Equity,1.11%
GAIL (India) Ltd.,Equity,1.06%
Indusind Bank Ltd.,Equity,1.04%
5.15 GOI Nov  9 2025,Debt,1.00%
9.25 Power Finance Corporation Ltd. Sep 25 2024,Debt,0.99%
Bharat Electronics Ltd.,Equity,0.90%
Tata Steel Ltd.,Equity,0.87%
United Spirits Ltd.,Equity,0.82%
Zomato Ltd.,Equity,0.81%
Marico Ltd.,Equity,0.78%
Sapphire Foods India Ltd.,Equity,0.76%
Container Corporation Of India Ltd.,Equity,0.74%
Jyothy Labs Ltd.,Equity,0.73%
Jubilant Foodworks Ltd.,Equity,0.69%
Affle (India) Ltd.,Equity,0.64%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.64%
Tech Mahindra Ltd.,Equity,0.60%
Oil & Natural Gas Corporation Ltd.,Equity,0.59%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.55%
Maruti Suzuki India Ltd.,Equity,0.55%
Alkem Laboratories Ltd.,Equity,0.53%
JK Lakshmi Cement Ltd.,Equity,0.53%
Nuvoco Vistas Corporation Ltd.,Equity,0.50%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.50%
Teamlease Services Ltd.,Equity,0.48%
Eris Lifesciences Ltd.,Equity,0.47%
Hindustan Aeronautics Ltd.,Equity,0.46%
Metropolis Healthcare Ltd.,Equity,0.46%
PB Fintech Ltd.,Equity,0.42%
Ultratech Cement Ltd.,Equity,0.41%
Voltas Ltd.,Equity,0.39%
Westlife Foodworld Ltd.,Equity,0.36%
Amber Enterprises India Ltd.,Equity,0.22%
Shankara Building Products Ltd.,Equity,0.15%
