Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,6.63%
HDFC Bank Ltd.,Equity,6.22%
Infosys Ltd.,Equity,4.68%
Reliance Industries Ltd.,Equity,4.23%
CBLO(CCIL),Others,4.12%
Larsen & Toubro Ltd.,Equity,3.41%
Bharti Airtel Ltd.,Equity,2.84%
Fortis Healthcare Ltd.,Equity,2.54%
Tata Motors Ltd.,Equity,2.02%
Maruti Suzuki India Ltd.,Equity,1.86%
Timken India Ltd.,Equity,1.68%
State Bank Of India,Equity,1.64%
Manappuram Finance Ltd.,Equity,1.61%
Fsn ECommerce Ventures Ltd.,Equity,1.56%
Indusind Bank Ltd.,Equity,1.56%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.53%
Axis Bank Ltd.,Equity,1.53%
Samhi Hotels Ltd.,Equity,1.48%
United Spirits Ltd.,Equity,1.45%
Mahindra & Mahindra Ltd.,Equity,1.45%
V-Guard Industries Ltd.,Equity,1.45%
Ultratech Cement Ltd.,Equity,1.43%
Info Edge (India) Ltd.,Equity,1.41%
The Phoenix Mills Ltd.,Equity,1.41%
Bharat Forge Ltd.,Equity,1.39%
Tata Steel Ltd.,Equity,1.38%
The Ramco Cements Ltd.,Equity,1.36%
Ambuja Cements Ltd.,Equity,1.29%
Bajaj Finance Ltd.,Equity,1.29%
Gokaldas Exports Ltd.,Equity,1.28%
ITC Ltd.,Equity,1.27%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.26%
Titan Company Ltd.,Equity,1.26%
GMM Pfaudler Ltd.,Equity,1.25%
REC Ltd.,Equity,1.25%
Ashok Leyland Ltd.,Equity,1.25%
Chalet Hotels Ltd.,Equity,1.23%
Sun Pharmaceuticals Ind Ltd.,Equity,1.22%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.11%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,1.10%
Sunteck Realty Ltd.,Equity,1.09%
Zee Entertainment Enterprises Ltd.,Equity,1.09%
Shoppers Stop Ltd.,Equity,1.07%
Inox India Ltd.,Equity,1.03%
Interglobe Aviation Ltd.,Equity,1.01%
Td Power Systems Ltd.,Equity,1.00%
Bank Of India,Equity,0.99%
Zomato Ltd.,Equity,0.99%
Go Fashion (India) Ltd.,Equity,0.97%
Clean Science & Technology Ltd.,Equity,0.97%
Tata Consultancy Services Ltd.,Equity,0.96%
Ashoka Buildcon Ltd.,Equity,0.95%
Devyani International Ltd.,Equity,0.95%
Kotak Mahindra Bank Ltd.,Equity,0.94%
Britannia Industries Ltd.,Equity,0.93%
Motherson Sumi Wiring India Ltd.,Equity,0.91%
Dalmia Bharat Ltd.,Equity,0.88%
Navin Fluorine International Ltd.,Equity,0.87%
Bank Of Baroda,Equity,0.76%
SBFC Finance Ltd.,Equity,0.67%
VIP Industries Ltd.,Equity,0.66%
Honeywell Automation India Ltd.,Equity,0.46%
Net Receivables/(Payable),Others,-0.08%
